Dataset,SSDP-k10-foQg,SSDP3x3-k10-foQg,SSDPmXcAuto-k10-foQg,SSDPmXcAuto3x3-k10-foQg,SSDPm10Xc90-k10-foQg,SSDPm10Xc903x3-k10-foQg,SSDPm50Xc50-k10-foQg,SSDPm50Xc503x3-k10-foQg,SD-k10-foQg
alon-pn-freq-2,24.060000000000002,24.1,23.84,24.0,24.02,24.04,24.04,24.059999999999995,24.1
alon-pn-freq-4,15.3,15.3,15.3,15.3,15.3,15.3,15.3,15.3,15.3
alon-pn-freq-8,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
alon-pn-width-2,14.7,16.1,14.559999999999999,15.580000000000002,14.48,15.64,14.080000000000002,14.86,13.2
alon-pn-width-4,18.380000000000003,29.0,17.34,20.939999999999998,17.98,20.84,16.9,22.619999999999997,11.7
alon-pn-width-8,18.6,19.0,18.619999999999997,18.96,18.7,18.860000000000003,18.660000000000004,18.76,17.4
borovecki-pn-freq-2,15.1,15.1,15.1,15.1,15.1,15.1,15.1,15.1,15.1
borovecki-pn-freq-4,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9
borovecki-pn-freq-8,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1
borovecki-pn-width-2,15.8,16.1,15.860000000000003,15.860000000000003,15.86,15.86,15.8,15.8,14.2
borovecki-pn-width-4,14.959999999999999,15.5,15.2,15.540000000000001,14.959999999999999,15.440000000000001,15.0,15.459999999999999,12.3
borovecki-pn-width-8,12.86,14.6,12.940000000000001,14.040000000000001,12.9,14.360000000000003,11.459999999999999,12.180000000000001,10.4
burczynski-pn-freq-2,37.2,37.3,37.339999999999996,37.36,37.220000000000006,37.239999999999995,37.22,37.22,32.9
burczynski-pn-freq-4,24.880000000000003,24.9,24.9,24.9,24.9,24.9,24.839999999999996,24.839999999999996,24.9
burczynski-pn-freq-8,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
burczynski-pn-width-2,31.139999999999997,33.6,31.54,33.26,28.2,33.08,29.1,33.059999999999995,15.2
burczynski-pn-width-4,33.019999999999996,35.0,32.160000000000004,36.040000000000006,32.559999999999995,35.44,30.5,33.5,15.8
burczynski-pn-width-8,25.659999999999997,27.7,25.72,26.82,22.18,23.94,22.26,23.1,17.4
chiaretti-pn-freq-2,42.5,42.5,42.5,42.5,42.5,42.5,42.5,42.5,38.3
chiaretti-pn-freq-4,26.48,26.5,26.439999999999998,26.439999999999998,26.46,26.46,26.46,26.46,26.4
chiaretti-pn-freq-8,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
chiaretti-pn-width-2,41.56,46.5,44.279999999999994,49.61999999999999,42.84,48.260000000000005,39.940000000000005,43.14,30.6
chiaretti-pn-width-4,34.94,42.3,34.760000000000005,40.800000000000004,31.639999999999997,37.68,32.52,39.480000000000004,21.7
chiaretti-pn-width-8,27.74,31.2,30.060000000000002,30.74,26.4,29.579999999999995,21.919999999999998,29.639999999999997,30.2
chin-pn-freq-2,42.67999999999999,42.7,42.660000000000004,42.660000000000004,42.6,42.6,42.559999999999995,42.6,42.5
chin-pn-freq-4,27.740000000000002,27.9,27.98,28.0,27.939999999999998,27.959999999999997,27.659999999999997,27.68,27.1
chin-pn-freq-8,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
chin-pn-width-2,54.46,60.3,56.58,63.46,51.9,60.279999999999994,53.32000000000001,61.52,37.2
chin-pn-width-4,47.52,47.2,49.4,58.1,47.18000000000001,54.339999999999996,47.739999999999995,54.81999999999999,38.6
chin-pn-width-8,30.6,34.2,31.060000000000002,37.4,31.020000000000003,36.82000000000001,30.940000000000005,38.46,23.1
chowdary-pn-freq-2,45.88,45.9,45.9,45.9,45.88,45.88,45.839999999999996,45.88,45.8
chowdary-pn-freq-4,27.8,27.8,27.8,27.8,27.8,27.8,27.8,27.8,27.8
chowdary-pn-freq-8,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
chowdary-pn-width-2,19.840000000000003,20.5,20.72,20.72,20.96,20.96,19.92,19.92,12.9
chowdary-pn-width-4,26.1,39.9,25.2,28.43,27.140000000000004,29.0,25.419999999999995,27.1,18.7
chowdary-pn-width-8,39.239999999999995,42.2,38.64,42.739999999999995,38.99999999999999,43.17999999999999,37.46,39.7,28.7
christensen-pn-freq-2,98.38000000000001,98.4,98.32000000000001,98.32000000000001,98.4,98.4,98.4,98.4,98.4
christensen-pn-freq-4,54.7,54.7,54.7,54.7,54.7,54.7,54.7,54.7,54.7
christensen-pn-freq-8,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0
christensen-pn-width-2,105.1,97.6,97.64,97.64,90.05,90.05,98.53999999999999,98.53999999999999,47.4
christensen-pn-width-4,104.92,93.5,106.4,106.58,107.97999999999999,108.28,108.48000000000002,108.8,57.3
christensen-pn-width-8,97.42,95.8,96.05999999999999,97.44000000000001,94.66,95.94,93.94000000000001,95.02000000000001,47.9
golub-pn-freq-2,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0
golub-pn-freq-4,18.2,18.2,18.2,18.2,18.2,18.2,18.2,18.2,18.2
golub-pn-freq-8,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4
golub-pn-width-2,37.56,44.1,32.88,42.02,33.54,42.68,30.659999999999997,41.58,18.0
golub-pn-width-4,43.5,44.3,43.019999999999996,44.44,41.42,43.519999999999996,42.08,44.05999999999999,19.2
golub-pn-width-8,41.56,42.6,42.1,43.540000000000006,41.46,42.760000000000005,41.160000000000004,42.62,35.3
gordon-pn-freq-2,91.2,91.2,91.2,91.2,91.2,91.2,91.2,91.2,91.2
gordon-pn-freq-4,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0
gordon-pn-freq-8,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2
gordon-pn-width-2,147.87999999999997,148.6,148.5,148.57999999999998,147.2,148.14000000000001,146.87999999999997,148.04000000000002,74.05
gordon-pn-width-4,146.76,146.8,147.08,147.84,147.36,147.36,145.68,147.5,88.2
gordon-pn-width-8,145.66,145.8,146.02,146.02,145.45999999999998,145.45999999999998,145.6,145.76000000000002,82.6
gravier-pn-freq-2,45.8,45.8,45.7,45.7,45.660000000000004,45.67999999999999,45.6,45.6,41.1
gravier-pn-freq-4,21.32,21.5,21.54,21.599999999999998,21.24,21.380000000000003,21.359999999999996,21.6,21.5
gravier-pn-freq-8,20.6,20.6,20.6,20.6,20.6,20.6,20.6,20.6,20.6
gravier-pn-width-2,65.96,69.5,64.02000000000001,69.66000000000001,64.69999999999999,70.3,63.7,68.74,27.8
gravier-pn-width-4,60.779999999999994,65.2,60.94,62.86,60.48,61.499999999999986,61.4,62.3,25.9
gravier-pn-width-8,46.4,49.1,44.739999999999995,48.18,45.12,46.16,45.02,46.66,37.0
khan-pn-freq-2,21.279999999999998,21.5,20.96,20.96,20.9,20.9,21.279999999999998,21.279999999999998,20.8
khan-pn-freq-4,14.38,14.4,14.38,14.38,14.360000000000003,14.360000000000003,14.280000000000001,14.280000000000001,14.3
khan-pn-freq-8,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
khan-pn-width-2,20.66,20.9,20.640000000000004,21.240000000000002,20.68,21.04,20.7,21.060000000000002,19.8
khan-pn-width-4,15.64,16.0,15.4,15.979999999999999,15.320000000000002,15.64,15.5,15.779999999999998,16.3
khan-pn-width-8,9.1,9.1,9.379999999999999,9.600000000000001,9.360000000000001,9.419999999999998,9.34,9.36,9.1
nakayama-pn-freq-2,18.48,18.3,18.52,18.559999999999995,18.52,18.660000000000004,17.619999999999997,18.04,15.5
nakayama-pn-freq-4,11.66,11.5,11.659999999999998,11.659999999999998,11.64,11.66,11.7,11.7,11.3
nakayama-pn-freq-8,7.779999999999999,7.8,7.82,7.82,7.760000000000001,7.760000000000001,7.2,7.279999999999999,7.5
nakayama-pn-width-2,10.86,11.2,10.6,12.34,10.580000000000002,11.42,9.879999999999999,10.440000000000001,8.5
nakayama-pn-width-4,16.02,17.5,16.080000000000002,17.3,10.639999999999999,14.560000000000002,13.14,16.220000000000002,6.1
nakayama-pn-width-8,9.360000000000001,11.7,9.4,12.2,9.180000000000001,11.32,9.120000000000001,10.899999999999999,5.5
pomeroy-pn-freq-2,20.240000000000002,20.3,20.32,20.34,20.24,20.259999999999998,20.2,20.32,20.0
pomeroy-pn-freq-4,13.1,13.0,13.14,13.14,13.12,13.16,13.080000000000002,13.1,12.5
pomeroy-pn-freq-8,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
pomeroy-pn-width-2,20.38,27.3,20.96,24.54,19.92,22.56,19.48,23.619999999999997,10.0
pomeroy-pn-width-4,18.020000000000003,20.2,18.78,20.16,18.02,19.860000000000003,17.68,19.8,11.7
pomeroy-pn-width-8,12.84,12.5,12.66,13.4,12.6,13.040000000000001,12.5,12.5,12.5
shipp-pn-freq-2,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0
shipp-pn-freq-4,20.2,20.2,20.2,20.2,20.2,20.2,20.2,20.2,20.2
shipp-pn-freq-8,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.6
shipp-pn-width-2,34.260000000000005,40.6,34.34,39.86,33.980000000000004,37.959999999999994,34.0,38.599999999999994,28.1
shipp-pn-width-4,35.44,41.8,36.42,41.160000000000004,34.38,39.8,34.779999999999994,40.92,26.8
shipp-pn-width-8,28.72,37.7,27.880000000000003,31.6,27.619999999999997,30.939999999999998,27.880000000000003,30.839999999999996,26.2
singh-pn-freq-2,36.720000000000006,36.7,36.739999999999995,36.760000000000005,36.7,36.739999999999995,36.6,36.620000000000005,36.5
singh-pn-freq-4,24.82,25.0,24.84,24.919999999999998,24.74,24.779999999999998,24.8,24.839999999999996,23.9
singh-pn-freq-8,14.6,14.6,14.6,14.6,14.6,14.6,14.64,14.66,14.6
singh-pn-width-2,36.120000000000005,43.8,36.28000000000001,42.260000000000005,35.18,41.32000000000001,34.459999999999994,37.480000000000004,30.1
singh-pn-width-4,40.44,41.7,40.78,43.04,38.86,41.64,37.88,41.28000000000001,18.4
singh-pn-width-8,42.34,42.0,43.24,44.64,42.339999999999996,43.519999999999996,42.160000000000004,43.879999999999995,15.4
sorlie-pn-freq-2,23.82,23.9,23.7,23.82,23.52,23.78,23.699999999999996,23.740000000000002,22.1
sorlie-pn-freq-4,13.280000000000001,13.3,13.180000000000001,13.34,13.16,13.219999999999999,13.280000000000001,13.34,13.4
sorlie-pn-freq-8,9.180000000000001,9.0,9.1,9.2,9.320000000000002,9.320000000000002,8.88,9.1,9.2
sorlie-pn-width-2,18.779999999999998,21.8,16.36,21.66,16.560000000000002,19.6,16.3,20.66,14.3
sorlie-pn-width-4,13.940000000000001,14.4,13.420000000000002,14.559999999999999,12.7,14.9,12.9,14.440000000000001,10.0
sorlie-pn-width-8,9.379999999999999,10.1,9.7,10.1,8.860000000000001,9.959999999999999,8.579999999999998,9.3,9.2
subramanian-pn-freq-2,18.1,18.1,18.1,18.1,18.1,18.1,18.1,18.1,18.1
subramanian-pn-freq-4,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0
subramanian-pn-freq-8,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9
subramanian-pn-width-2,26.18,26.8,27.3,28.759999999999998,26.0,28.28,26.059999999999995,28.360000000000003,14.9
subramanian-pn-width-4,18.52,20.7,18.58,20.6,17.96,19.540000000000003,18.22,19.54,13.0
subramanian-pn-width-8,13.1,13.1,13.1,13.14,13.180000000000001,13.319999999999999,13.1,13.12,13.1
sun-pn-freq-2,56.6,56.7,57.620000000000005,57.85999999999999,57.56,58.08,56.98,57.46,39.6
sun-pn-freq-4,33.239999999999995,33.4,33.379999999999995,33.379999999999995,33.22,33.22,33.239999999999995,33.239999999999995,32.7
sun-pn-freq-8,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0
sun-pn-width-2,37.94,37.5,38.760000000000005,39.6,38.6,44.44,37.82000000000001,39.28,23.5
sun-pn-width-4,48.48,50.9,47.660000000000004,51.44,47.06,52.32000000000001,44.39999999999999,49.1,21.7
sun-pn-width-8,37.559999999999995,41.5,36.84,40.22,36.86,39.739999999999995,37.18,39.540000000000006,22.0
tian-pn-freq-2,55.96,56.1,55.96,56.06,55.779999999999994,55.879999999999995,55.68000000000001,55.82000000000001,55.9
tian-pn-freq-4,33.480000000000004,33.2,33.14,33.5,33.220000000000006,33.5,33.08,33.459999999999994,31.5
tian-pn-freq-8,23.2,23.2,23.2,23.2,23.2,23.2,23.2,23.2,23.2
tian-pn-width-2,41.55999999999999,61.8,40.06,49.519999999999996,39.9,42.660000000000004,39.71999999999999,43.44,26.4
tian-pn-width-4,52.0,56.8,54.220000000000006,61.14,50.440000000000005,64.0,50.440000000000005,61.98,30.3
tian-pn-width-8,49.81999999999999,68.7,49.36,62.760000000000005,45.540000000000006,61.339999999999996,47.300000000000004,57.31999999999999,27.1
west-pn-freq-2,17.160000000000004,17.2,17.160000000000004,17.160000000000004,17.14,17.18,17.2,17.2,17.2
west-pn-freq-4,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8
west-pn-freq-8,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
west-pn-width-2,17.18,20.2,16.72,19.96,15.6,19.619999999999997,15.139999999999997,20.34,10.7
west-pn-width-4,18.080000000000002,20.1,18.720000000000002,20.08,18.0,19.0,17.619999999999997,18.939999999999998,8.4
west-pn-width-8,16.36,17.5,16.82,18.1,16.240000000000002,17.62,16.38,18.4,8.7
yeoh-pn-freq-2,76.28,76.3,76.26,76.26,76.3,76.3,76.24000000000001,76.26,67.4
yeoh-pn-freq-4,49.7,49.7,49.7,49.7,49.7,49.7,49.7,49.7,49.7
yeoh-pn-freq-8,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0
yeoh-pn-width-2,58.739999999999995,60.7,58.96,59.739999999999995,59.06,60.96,58.54,60.02,56.8
yeoh-pn-width-4,46.96,50.0,46.86,50.879999999999995,47.02,51.44,47.519999999999996,52.94,46.9
yeoh-pn-width-8,25.1,25.9,23.04,23.419999999999998,25.400000000000002,27.360000000000003,22.04,22.7,21.0
